Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2004,0.62,0.48,0,0.16,1.27,71,22,7.5,24,16,0,457,1558,8,Kid Icarus: Uprising
1994,0.39,0.26,0.53,0.08,1.27,69,4,6.3,4,15,2,457,1426,7,Pokemon Mystery Dungeon: Gates to Infinity
2012,0.72,0.44,0,0.11,1.27,78,46,8,110,28,0,490,1413,7,LEGO Batman: The Videogame
2013,0.43,0.36,0.32,0.16,1.27,85,50,8.5,332,17,7,466,1590,7,Road Rash
2013,0.33,0.69,0.05,0.19,1.27,80,6,4.9,123,17,6,139,599,2,Atlantis
2010,0.76,0.39,0,0.11,1.26,79,8,8.1,22,26,10,139,424,1,NBA 2K9
2007,0.39,0.72,0,0.15,1.26,68,36,5.8,21,26,10,496,1209,1,Tony Hawk's Underground
1998,0.05,0.03,1.1,0.08,1.26,71,22,7.5,24,15,5,490,1558,8,Hogan's Alley
2010,0,1.01,0,0.25,1.26,85,23,8.4,77,13,10,447,1350,1,Metal Gear Solid V: Ground Zeroes
1998,0.02,1.13,0.01,0.1,1.26,71,22,7.5,24,15,10,91,1558,8,Mystery Case Files: MillionHeir
2003,0,1.15,0,0.11,1.26,71,22,7.5,24,13,10,138,1558,8,.hack//Infection Part 1
1998,0.99,0.22,0,0.04,1.26,71,22,7.5,24,15,3,217,1558,8,Jillian Michaels' Fitness Ultimatum 2009
2005,0.1,0.02,1.12,0.01,1.26,59,20,7.7,6,4,9,53,974,1,Valkyria Chronicles
2008,0.45,0.55,0.05,0.22,1.26,75,42,7.2,166,17,0,138,1022,7,WWE '12
2008,0.56,0.56,0,0.14,1.25,71,22,7.5,24,4,0,21,1558,8,Sonic Adventure DX: Director's Cut
2009,0.77,0.37,0,0.11,1.25,65,29,8.9,51,4,11,550,649,1,Jet Li: Rise to Honor
2000,0.7,0.47,0,0.08,1.25,86,10,8,6,15,10,139,442,1,Battle Arena Toshinden
2013,0.56,0.41,0.09,0.19,1.25,76,26,6.3,278,17,0,121,1601,5,WWE '13
2008,0.49,0,0.01,0.75,1.25,68,7,7.4,33,16,0,290,810,7,Final Fantasy X / X-2 HD Remaster
2014,0.72,0.41,0.01,0.11,1.25,71,22,5,332,28,0,527,1532,5,Need for Speed Rivals
2008,0.94,0.16,0.02,0.13,1.25,63,64,6.9,223,17,8,457,1311,5,EA Sports Active 2
1988,0,0,1.25,0,1.25,71,22,7.5,24,11,7,349,1558,8,Rockstar Games presents Table Tennis
1987,0,0,1.25,0,1.25,71,22,7.5,24,11,7,349,1558,8,Devil Dice
1996,0.99,0.13,0.1,0.04,1.25,71,22,7.5,24,15,10,350,1558,8,Football Manager 2011
2005,1,0.13,0.02,0.1,1.25,83,54,8.5,134,28,6,139,424,7,Brian Lara Cricket
2005,0.71,0.19,0.31,0.03,1.25,64,27,8.3,74,7,7,361,593,1,Championship Manager 03/04
2006,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194,16,8,139,337,5,Wheel of Fortune
2007,0.47,0.53,0.03,0.22,1.25,86,32,7.6,81,17,8,527,1532,5,Tamagotchi Connection: Corner Shop
2012,0.35,0.61,0.02,0.27,1.25,88,71,8.6,348,20,4,457,1434,1,Tomb Raider: Underworld
2015,0.48,0.35,0.34,0.08,1.25,69,44,8.8,190,2,7,361,1345,1,Kung Fu Panda
2002,1.19,0.05,0,0,1.25,74,22,8.5,135,13,11,53,283,1,LEGO Battles
2007,0.49,0.62,0,0.14,1.25,71,22,7.5,24,4,0,490,1558,8,NBA Live 2001
2003,0.61,0.48,0,0.16,1.25,52,37,6.2,106,16,0,138,318,7,Saints Row IV
2004,0.52,0.56,0,0.17,1.25,87,45,8.6,34,16,0,527,1543,7,Star Wars: The Force Unleashed
1998,1.05,0.16,0,0.04,1.25,71,22,7.5,24,15,6,139,1558,8,Combat
2005,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155,16,8,457,723,7,Watch Dogs
2007,0.45,0.67,0,0.12,1.24,52,15,6.8,4,26,10,421,23,1,SOCOM: U.S. Navy SEALs Confrontation
2001,0.61,0.48,0,0.16,1.24,87,29,8.3,90,16,7,543,1322,7,Dragon Ball: Daimaou Fukkatsu
1997,0.75,0.44,0,0.06,1.24,85,10,9,96,15,4,178,1039,7,Gegege no Kitarou 2: Youkai Gundan no Chousen
2000,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,16,0,349,967,1,Reel Fishing
2008,0.69,0,0,0.55,1.24,78,9,6.9,34,16,2,490,1637,7,Need for Speed: Most Wanted
1992,0.56,0.22,0.43,0.03,1.24,71,22,7.5,24,5,5,361,1558,8,Pokemon XD: Gale of Darkness
2005,0.82,0.38,0,0.04,1.24,61,44,8.1,54,29,0,21,410,7,Black
2009,0.65,0.4,0,0.19,1.24,79,53,7.7,308,17,0,21,1155,5,Tom Clancy's Rainbow Six: Vegas
2007,1.12,0.02,0,0.09,1.24,71,22,7.5,24,4,0,21,1558,8,LittleBigPlanet PS Vita
2012,0.12,0.89,0,0.23,1.23,76,36,6.4,66,17,10,139,442,1,Pokemon Super Mystery Dungeon
2001,0.6,0.47,0,0.16,1.23,32,6,4.6,29,16,4,277,804,1,RollerCoaster Tycoon 2
2016,1.08,0.02,0,0.13,1.23,83,30,5.9,39,30,10,139,442,1,Ratatouille
2004,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152,29,0,325,1440,5,Lara Croft Tomb Raider: The Angel of Darkness
2011,0.68,0.4,0.04,0.11,1.23,71,22,7.5,24,4,6,127,1558,8,Tom Clancy's Splinter Cell: Pandora Tomorrow
2002,0.59,0.57,0,0.07,1.23,70,16,8.1,19,29,4,530,1496,1,Road Rash 3D
2004,0.6,0.47,0,0.16,1.23,57,51,5.5,102,16,6,53,1190,5,Ratchet: Deadlocked
2009,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69,19,0,527,618,5,Winter Sports: The Ultimate Challenge
2003,0.69,0.47,0,0.08,1.23,71,22,7.5,24,15,3,457,1558,8,Baldur's Gate: Dark Alliance
2014,0.52,0.35,0.18,0.18,1.23,71,22,7.5,24,17,7,466,1558,8,Oddworld: Abe's Oddysee
2012,0.64,0.49,0,0.11,1.23,80,49,8.5,73,28,0,550,1418,2,Ridge Racer V
2000,0.29,0.17,0.75,0.02,1.23,71,22,7.5,24,5,5,361,1558,8,WWE SmackDown vs. Raw 2009
2003,0.88,0.33,0,0.02,1.23,71,22,7.3,6,6,4,490,1577,1,Tetris 2 (All region sales)
1998,0.68,0.47,0,0.08,1.23,71,22,7.5,24,15,6,21,1558,8,LEGO Harry Potter: Years 5-7
2014,0.58,0.42,0.13,0.1,1.23,76,81,8.3,662,27,0,361,1042,7,Star Wars Episode III: Revenge of the Sith
1986,0.54,0.06,0.62,0.01,1.23,71,22,7.5,24,11,4,277,1558,8,[Prototype]
2004,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37,6,4,361,1160,1,Transformers: Autobots / Decepticons
2008,1,0.13,0,0.1,1.23,70,59,6.7,48,28,3,21,992,7,FIFA Street
2003,0.4,0.11,0.7,0.02,1.23,71,22,7.5,24,6,5,361,1558,8,Frogger: The Great Quest
2006,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42,17,6,139,424,2,Madden NFL 17
2007,0.54,0.55,0,0.13,1.23,63,6,7.7,9,26,0,110,656,2,Ninja Gaiden
2010,0.3,0.64,0.07,0.22,1.23,82,56,7.8,57,17,10,139,424,1,Cars 2
2011,0.29,0.18,0.67,0.09,1.22,78,65,8.2,468,17,7,349,155,7,Crash Bandicoot: The Wrath of Cortex
2007,1.09,0.03,0,0.09,1.22,63,39,7.5,27,4,6,361,1160,1,Driv3r
2004,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48,7,10,361,262,1,Assassin's Creed: Bloodlines
1997,0.13,0.07,1,0.02,1.22,71,22,7.5,24,15,5,457,1558,8,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game
1984,0.27,0.08,0.85,0.02,1.22,71,22,7.5,24,11,5,349,1558,8,Kingdom Hearts II
1997,0.76,0.3,0.12,0.04,1.22,71,22,7.5,24,5,3,361,1558,8,LEGO The Lord of the Rings
1999,0.79,0.31,0.08,0.04,1.22,71,22,7.5,24,5,3,361,1558,8,Kirby Tilt 'n' Tumble
2006,0.59,0.46,0.01,0.15,1.22,71,22,7.5,24,16,1,30,1558,8,SpongeBob SquarePants: Battle for Bikini Bottom
1997,1.13,0.05,0,0.03,1.22,71,22,7.5,24,15,10,139,1558,8,Vigilante 8
1997,0,0,1.14,0.08,1.22,71,22,7.5,24,15,7,468,1558,8,Hyrule Warriors
2002,0.61,0.27,0.27,0.07,1.22,86,29,9.5,150,6,7,361,262,1,Castlevania
1996,0.68,0.46,0,0.08,1.22,71,22,7.5,24,15,9,310,1558,8,Donkey Kong Country 2
2001,0.98,0.19,0,0.05,1.22,89,24,8.3,61,29,8,496,1675,5,Guitar Hero: Aerosmith
1998,0.68,0.46,0,0.08,1.22,71,22,7.5,24,15,2,139,1558,8,"WarioWare, Inc.: Mega MicroGame$"
2002,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16,16,10,447,1592,1,Need for Speed Carbon
2006,1.01,0.04,0,0.16,1.21,71,30,8.4,12,16,6,490,1159,1,Ben 10: Protector of Earth
2001,0.93,0.24,0,0.04,1.21,70,28,6.9,16,29,3,325,211,1,2010 FIFA World Cup South Africa
2004,0.78,0.4,0,0.04,1.21,73,55,7.8,22,29,8,21,1336,7,Tales of Xillia
2007,0.51,0.04,0.62,0.05,1.21,85,52,7.7,164,4,9,466,893,2,Diddy Kong Racing DS
2005,1.05,0.05,0.01,0.1,1.21,69,22,8.5,111,19,8,290,1270,7,Mario Power Tennis
2011,0.55,0.44,0.14,0.09,1.21,85,69,8.1,206,2,2,85,264,7,Intelligent Qube
2002,1.03,0.14,0,0.04,1.21,86,41,8.6,184,16,4,457,1382,1,Pac-Man
2015,0.41,0.6,0,0.2,1.21,73,47,7.4,237,18,10,496,1637,7,Game & Watch Gallery 2
1999,0.66,0.48,0.01,0.06,1.21,71,22,7.5,24,15,0,290,1558,8,Game & Watch Gallery 3
2000,0.34,0.49,0.28,0.1,1.21,86,13,9,91,15,0,543,264,5,Parfait: Chocolat Second Style
1992,0.66,0.17,0.35,0.03,1.21,71,22,7.5,24,23,4,85,1558,8,NBA Live 99
2001,0,0,1.2,0.01,1.21,71,22,7.5,24,15,7,145,1558,8,Chocobo no Fushigi Dungeon
2003,0.69,0.48,0.01,0.03,1.21,83,24,9,45,7,6,139,469,1,Golden Sun: The Lost Age
2010,0.42,0.46,0.15,0.18,1.21,76,34,8.3,130,17,2,349,350,7,SimCity 2000
2007,0.25,0.69,0.03,0.25,1.21,75,16,7.6,39,17,8,139,469,7,Max Payne
2015,0.72,0.37,0.01,0.11,1.21,71,27,5.1,299,30,8,139,1591,5,WCW Mayhem
2007,0.87,0.32,0,0.02,1.21,71,22,7.5,24,6,3,531,1558,8,NBA 2K2
2009,0.44,0.39,0.21,0.16,1.21,87,54,7.7,355,17,0,447,996,5,NASCAR Thunder 2003
1997,0.67,0.46,0,0.08,1.21,71,22,7.5,24,15,6,139,1558,8,Cars
2008,0.71,0.38,0,0.12,1.21,85,61,8.6,105,26,5,139,434,1,Fuzion Frenzy
2005,0.01,0.88,0.31,0,1.2,71,22,7.5,24,19,10,277,1558,8,Call of Duty: Finest Hour
2002,0.59,0.46,0,0.15,1.2,59,19,5.1,20,16,0,71,1395,7,Final Fantasy IV
2007,0.44,0.63,0,0.14,1.2,73,19,8.2,10,26,9,139,898,7,Star Wars: Battlefront II
2006,0.25,0.64,0,0.31,1.2,71,22,7.5,24,19,10,139,1558,8,Super Street Fighter IV: 3D Edition
2004,1,0.04,0,0.16,1.2,78,37,8.4,16,16,6,462,295,1,Sly Cooper and the Thievius Raccoonus
2011,0.12,0.74,0.11,0.24,1.2,82,36,7.1,55,17,6,91,301,1,WWE 2K16
2014,0.08,1.04,0,0.07,1.2,71,22,7.5,24,13,9,161,1558,8,Star Wars Episode 1: Jedi Power Battles
2004,0.48,0.13,0.56,0.03,1.2,90,54,9.1,137,7,11,361,1008,1,Dino Crisis 2
1999,1.12,0.05,0,0.02,1.2,71,22,7.5,24,3,10,447,1558,8,The Magical Quest starring Mickey Mouse
1989,0.4,0.39,0.36,0.04,1.2,71,22,7.5,24,5,8,361,1558,8,Dragon Quest IV: Michibikareshi Monotachi
1986,0,0,1.2,0,1.2,71,22,7.5,24,11,8,277,1558,8,Need for Speed Underground
1986,0,0,1.2,0,1.2,71,22,7.5,24,11,4,277,1558,8,Naruto Shippuden: Ultimate Ninja Storm 2
1993,0,0,1.2,0,1.2,71,22,7.5,24,23,2,349,1558,8,Medal of Honor: Airborne
2003,0.72,0.43,0.01,0.04,1.2,65,33,7.1,75,29,0,53,1295,7,Battlefield: Hardline
2006,0.72,0.28,0,0.2,1.2,70,17,7,4,19,6,490,844,1,Shrek / Shrek 2 2-in-1 Gameboy Advance Video
2001,0.59,0.46,0,0.15,1.2,92,22,8.5,26,16,10,139,442,1,Bayonetta
2010,0.13,0.69,0.01,0.36,1.2,68,6,5.4,9,19,10,139,442,1,Test Drive 4
1997,0.66,0.45,0,0.08,1.19,71,22,7.5,24,15,9,139,1558,8,Boom Blox
2003,0.86,0.32,0,0.02,1.19,55,14,6.8,9,6,6,490,66,1,World Soccer Winning Eleven 9 (JP & Others sales)
2012,0.5,0.5,0,0.19,1.19,81,28,7.5,81,17,0,550,1496,2,The Lord of the Rings: The Fellowship of the Ring
2014,0.53,0.38,0.19,0.09,1.19,81,78,8.6,377,27,5,361,1009,1,The Sims 2: Castaway
2002,0.92,0.23,0,0.04,1.19,71,4,7.7,7,6,4,490,1577,1,FIFA Soccer 07
2008,0.09,0.84,0.11,0.15,1.19,83,19,8.4,43,26,10,277,804,1,ATV Offroad Fury 3
2015,0.85,0.23,0,0.12,1.19,89,11,5.2,393,30,8,21,254,7,F1 2011
2006,0.99,0.04,0,0.16,1.19,75,46,8.6,113,16,0,546,1155,5,Farming Simulator 2015
1990,0.68,0.14,0.35,0.02,1.19,71,22,7.5,24,11,4,85,1558,8,Pikmin 2
1998,1.02,0.13,0.04,0.01,1.19,71,22,7.5,24,10,10,361,1558,8,NFL 2K
1999,0.99,0.16,0,0.04,1.19,71,22,7.5,24,15,6,527,1558,8,SolarStriker
2008,0.77,0.31,0,0.11,1.19,71,22,7.5,24,26,3,127,1651,1,TwinBee
2007,0.45,0.47,0,0.28,1.19,68,11,7.8,15,19,2,490,1637,7,Ganbare Goemon! Karakuri Douchuu
2002,0.86,0.27,0.01,0.04,1.19,76,14,7.3,11,7,0,21,1499,1,Dragon Ball Z: La Legende Saien
2004,0.64,0.24,0.29,0.02,1.19,71,22,7.5,24,6,7,361,1558,8,Enter the Matrix
2006,0.73,0.03,0.36,0.07,1.19,76,32,7.9,17,4,5,361,1015,1,Cars
2006,0.38,0.35,0.38,0.08,1.18,87,54,8.2,147,19,0,277,801,5,NHL 2002
1999,0.66,0.45,0,0.08,1.18,71,22,7.5,24,15,1,277,1558,8,FIFA Soccer 11
2009,0.65,0.42,0,0.11,1.18,59,4,7.5,24,4,0,21,1417,1,Nuclear Strike
2012,0.18,0.64,0.27,0.09,1.18,71,22,7.5,24,2,10,447,1558,8,The Simpsons: Road Rage
1982,1.1,0.07,0,0.01,1.18,71,22,7.5,24,0,6,53,1558,8,LEGO Batman 2: DC Super Heroes
2013,0.48,0.5,0.01,0.2,1.18,78,37,7.9,282,17,2,550,988,7,Captain Toad: Treasure Tracker
2000,0.5,0.18,0.44,0.06,1.18,71,22,7.5,24,5,10,361,1558,8,SpongeBob SquarePants: Revenge of the Flying Dutchman
1999,0.52,0.24,0.38,0.04,1.18,88,9,9.4,201,3,1,447,1278,7,Pro Evolution Soccer 2008
1988,0.1,0,1.08,0,1.18,71,22,7.5,24,11,10,349,1558,8,Destiny: The Taken King
2012,0.9,0.19,0,0.09,1.18,77,23,7.7,36,28,3,527,1524,2,Scarface: The World is Yours
2001,0.85,0.31,0,0.02,1.18,95,16,7.5,22,6,10,21,1577,1,Disney's Chip 'n Dale: Rescue Rangers
2012,0.01,0.23,0.86,0.08,1.18,64,33,6.5,55,17,0,349,1045,7,Kobe Bryant in NBA Courtside
1991,0.5,0.14,0.52,0.02,1.18,71,22,7.5,24,23,4,85,1558,8,The Dukes of Hazzard: Racing for Home
1996,0.65,0.44,0,0.08,1.17,71,22,7.5,24,15,9,139,1558,8,Hitman 2: Silent Assassin
2005,0.98,0.04,0,0.16,1.17,77,43,8.7,70,16,8,21,992,5,Disney Sing It
2002,0.57,0.45,0,0.15,1.17,70,14,8.8,60,16,4,139,810,1,WWE SmackDown vs Raw 2008
2012,0.48,0.24,0.36,0.1,1.17,52,36,4.9,222,17,0,85,1311,5,Spider-Man: The Movie
1990,0.68,0.1,0.39,0,1.17,71,22,7.5,24,11,4,85,1558,8,Final Fantasy I & II: Dawn of Souls
2008,0.4,0.48,0,0.29,1.17,76,8,7.6,11,19,0,290,1496,2,Mario vs. Donkey Kong 2: March of the Minis
2009,0.53,0.16,0.42,0.06,1.17,62,22,7.2,36,26,1,361,335,1,Metal Gear Solid: Portable Ops
2011,0.53,0.45,0.02,0.17,1.17,72,28,6.9,80,17,2,490,1637,7,Metal Gear Solid VR Missions
2015,0.36,0.59,0.04,0.18,1.17,71,22,7.5,24,18,0,550,1558,8,LEGO Indiana Jones 2: The Adventure Continues
1993,0,0,1.17,0,1.17,71,22,7.5,24,23,7,468,1558,8,Mario & Sonic at the London 2012 Olympic Games
1997,0.74,0.38,0.02,0.03,1.17,71,22,7.5,24,10,0,374,1558,8,Pole Position
2003,0.57,0.45,0,0.15,1.17,57,4,8.4,37,16,10,567,1258,7,Injustice: Gods Among Us
2015,0.39,0.69,0,0.09,1.17,96,57,7.9,3756,13,0,496,1208,5,Mario Tennis
2010,0.59,0.45,0,0.14,1.17,84,39,8.6,2754,13,7,66,1038,5,Shenmue
1998,0.65,0.44,0,0.08,1.17,71,22,7.5,24,15,10,10,1558,8,Pro Yakyuu Family Stadium '88
2009,0.48,0.48,0.01,0.2,1.17,81,38,8.1,55,17,2,490,1637,7,Just Dance 4
1996,0.16,0.11,0.83,0.08,1.17,71,22,7.5,24,15,6,457,1558,8,Tony Hawk's Pro Skater 2
2003,0.76,0.36,0,0.05,1.17,65,23,5.8,28,29,8,139,434,7,One Piece: Pirate Warriors
2008,0.74,0.26,0.02,0.15,1.17,74,43,7.3,118,17,8,139,435,5,Super Ghouls 'n Ghosts
2008,0.03,1.06,0,0.08,1.17,84,75,5.3,1711,13,11,139,898,2,Soviet Strike
1996,0.65,0.44,0,0.08,1.17,71,22,7.5,24,15,6,415,1558,8,Gun
2004,0.68,0.25,0.21,0.02,1.17,81,43,8,31,6,5,361,1008,1,Ty the Tasmanian Tiger
2011,0.52,0.46,0,0.19,1.16,76,36,7.3,34,17,0,290,1496,2,Resident Evil: Operation Raccoon City
2006,0.97,0.04,0,0.16,1.16,85,19,8.9,53,16,6,496,1209,2,Mega Man 3
2004,0.57,0.44,0,0.15,1.16,70,31,6.3,24,16,8,527,1182,7,LEGO Indiana Jones: The Original Adventures
1997,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,15,2,457,837,7,PokéPark Wii: Pikachu's Adventure
2008,0.51,0.51,0.01,0.13,1.16,79,82,7.6,328,28,4,139,430,7,WWE '12
2006,0.41,0.06,0.04,0.66,1.16,43,17,4.1,176,17,4,447,1328,2,Mad Max (2015)
2001,0.57,0.44,0,0.15,1.16,85,17,8.5,22,16,6,139,442,1,Romancing SaGa 2
2002,0.84,0.27,0,0.05,1.16,71,22,7.5,24,6,7,277,1558,8,Mission: Impossible
1995,0.21,0.16,0.77,0.02,1.16,71,22,7.5,24,21,6,447,1558,8,Cabela's Dangerous Hunts
1999,0.78,0.28,0.07,0.02,1.16,71,22,7.5,24,10,8,361,1558,8,Grand Theft Auto V
1993,0.57,0.08,0.5,0.01,1.16,71,22,7.5,24,23,4,85,1558,8,Fallout: New Vegas
1997,0.65,0.44,0,0.08,1.16,71,22,7.5,24,15,6,138,1558,8,Cool Boarders 4
2011,0.7,0.36,0,0.1,1.16,77,13,7.6,21,28,10,527,1524,1,WWE SmackDown vs. Raw 2010
2013,0.41,0.66,0,0.09,1.16,88,22,5.8,328,30,10,139,424,1,Rage Racer
2007,0.45,0.24,0.3,0.16,1.16,88,41,8,238,19,7,466,1415,7,Medal of Honor: Rising Sun
2005,0.83,0.28,0,0.05,1.16,71,22,7.5,24,29,0,138,1558,8,Army of Two
2010,0.54,0.5,0,0.12,1.16,45,39,5.8,89,28,8,88,290,5,Spore
2007,0.53,0.48,0.01,0.12,1.15,78,32,8.2,66,4,4,447,399,1,Destruction Derby 2
2008,0,1.14,0,0.01,1.15,83,29,8.1,30,13,9,447,1350,1,Mario vs. Donkey Kong
2001,0.56,0.44,0,0.15,1.15,73,15,8.3,30,16,0,327,927,7,LEGO Star Wars III: The Clone Wars
2007,0.5,0.39,0.02,0.25,1.15,69,20,7.3,30,19,8,139,434,7,Midnight Club 3: DUB Edition Remix
2004,0.56,0.44,0,0.15,1.15,43,5,3.4,13,16,8,143,211,5,Tom Clancy's Ghost Recon: Jungle Storm
2008,0.59,0.31,0.15,0.1,1.15,71,22,7.5,24,26,4,361,1558,8,Bushido Blade
2012,0,0.95,0,0.21,1.15,86,37,6.7,228,13,10,447,1350,8,Mirror's Edge
1980,1.07,0.07,0,0.01,1.15,71,22,7.5,24,0,3,21,1558,8,Sonic the Hedgehog
2012,0.59,0.45,0.01,0.1,1.15,53,43,5.4,437,28,0,139,365,5,NASCAR Thunder 2002
1990,0.51,0.2,0.41,0.03,1.15,71,22,7.5,24,5,5,361,1558,8,Yu-Gi-Oh! The Sacred Cards (American and Others sales)
1995,0,0,1.15,0,1.15,71,22,7.5,24,23,10,13,1558,8,Sega Rally Championship
1986,0,0,1.15,0,1.15,71,22,7.5,24,11,0,227,1558,8,Jet Force Gemini
2008,0.5,0.52,0,0.13,1.15,71,22,7.5,24,4,3,127,1558,8,Mega Man X
2009,0.15,0.67,0.01,0.31,1.15,83,9,7.9,14,19,10,139,442,1,Test Drive: Off Road
2003,0.5,0.16,0.46,0.03,1.15,76,55,8.3,21,7,3,361,967,1,Your Shape: Fitness Evolved 2012
2007,0,1.12,0,0.03,1.15,92,40,8.5,2360,13,8,21,717,5,FIFA 14
1993,0,0,1.15,0,1.15,71,22,7.5,24,23,7,145,1558,8,Final Fantasy Tactics: The War of the Lions
2003,0.56,0.44,0,0.15,1.15,68,28,9,28,16,4,490,138,1,LEGO Star Wars: The Video Game
2014,0.39,0.57,0,0.19,1.15,62,44,5.1,164,18,10,496,1637,7,Sniper: Ghost Warrior
1998,0.64,0.43,0,0.07,1.15,71,22,7.5,24,15,8,475,1558,8,Sonic Rush Adventure
1997,0,0,1.07,0.07,1.15,71,22,7.5,24,15,5,97,1558,8,Worldwide Soccer Manager 2009
2000,0.64,0.43,0,0.07,1.14,51,8,7.5,24,15,0,496,1584,1,Gauntlet: Dark Legacy
2003,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38,16,0,21,770,5,Medal of Honor Heroes 2
2005,0.78,0.03,0.2,0.13,1.14,91,77,9.1,933,16,0,457,1228,7,Bad Boys: Miami Takedown
1998,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17,15,7,468,1356,1,Wario Land: Shake It!
2007,0.57,0.32,0.09,0.16,1.14,88,46,7.5,155,17,0,138,1440,5,Football Manager 2013
2013,0.49,0.46,0,0.19,1.14,74,22,7.5,121,17,10,496,1637,7,Kaboom!
2011,0.47,0.26,0.35,0.07,1.14,56,36,7.1,50,2,0,361,74,2,Medal of Honor: Warfighter
2008,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47,17,0,21,1499,7,Qix
2005,0.95,0.04,0,0.16,1.14,76,27,9,21,16,9,277,805,2,Derby Stallion III
2000,0.41,0.23,0.47,0.03,1.14,71,22,7.5,24,3,0,138,1558,8,Doraemon
1991,0.58,0.37,0.15,0.04,1.14,71,22,7.5,24,5,6,361,1558,8,High School Musical 2: Work This Out!
1998,0.9,0.23,0,0.02,1.14,71,22,7.5,24,10,8,17,1558,8,FIFA Soccer 10
1986,0.71,0.16,0.25,0.03,1.14,71,22,7.5,24,11,0,85,1558,8,Donkey Konga
1990,0.46,0.17,0.48,0.02,1.14,71,22,7.5,24,23,9,361,1558,8,Call of Duty 4: Modern Warfare
2003,0.71,0.38,0,0.05,1.14,84,31,9.1,31,29,0,139,432,7,Dragon Quest I & II
2005,0.82,0.3,0,0.02,1.14,71,22,7.5,24,6,0,138,1558,8,Tak and the Power of Juju
2007,0.31,0.03,0.76,0.04,1.14,81,66,8.8,32,17,10,457,292,1,WWE 2K15
2005,0,0.51,0,0.62,1.14,71,22,7.5,24,16,7,496,1558,8,Asteroids
2010,0.45,0.45,0.06,0.18,1.14,71,22,7.4,17,17,0,496,1209,5,Puyo Puyo Sun Ketteiban
2011,0.75,0.21,0.05,0.12,1.14,71,22,7.5,24,17,4,457,1558,8,Action Bass
2014,0.63,0.4,0,0.1,1.14,81,89,7.7,1137,30,8,325,723,5,Tenchu: Wrath of Heaven
2001,0.12,0.1,0.88,0.03,1.14,73,15,8.8,32,16,9,53,264,7,Shadow of the Colossus
2004,0.7,0.39,0.01,0.03,1.14,71,22,7.5,24,7,6,139,1558,8,Brave Fencer Musashi
2016,0.41,0.45,0.11,0.17,1.14,79,60,8.2,201,18,2,349,350,7,Ninja Gaiden Sigma
2002,1.01,0.1,0,0.03,1.13,87,32,8,47,29,9,325,369,7,WWE 2K14
2009,0.76,0.27,0,0.1,1.13,80,15,7.5,24,26,10,139,469,1,Pokemon Rumble Blast
1999,0,0,1.06,0.07,1.13,71,22,7.5,24,15,10,13,1558,8,007: Quantum of Solace
2006,0.81,0.3,0,0.02,1.13,50,8,4.7,6,6,6,490,648,1,Dance Dance Revolution Extreme 2
2016,0.37,0.58,0,0.18,1.13,83,88,7.8,621,18,0,527,1532,5,Resident Evil - Code: Veronica
2011,0.61,0.43,0,0.09,1.13,67,25,6.1,31,2,0,290,1496,2,Super R.C. Pro-Am
2004,0.99,0.12,0,0.02,1.13,84,55,8.6,14,29,8,527,1532,5,South Park
1983,0.23,0.05,0.84,0.01,1.13,71,22,7.5,24,11,4,361,1558,8,Commando
2008,0.31,0.58,0.02,0.22,1.13,79,66,7.8,362,17,4,139,430,7,Pilotwings
2009,0.65,0.37,0,0.11,1.13,85,69,6.8,108,28,3,21,992,7,The Lord of the Rings: The Return of the King
2014,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,18,8,447,333,5,LEGO Star Wars: The Video Game
1998,0.63,0.43,0,0.07,1.13,71,22,7.5,24,15,3,457,1558,8,Hot Shots Golf: Out of Bounds
2012,0.33,0.37,0.37,0.06,1.13,73,51,8.6,209,2,7,361,833,2,Royal Palace of White Sword and The City of Gentiles
2005,0.81,0.3,0,0.02,1.13,71,22,7.5,24,6,7,361,1558,8,Red Dead Redemption: Undead Nightmare
2007,0.45,0.56,0,0.12,1.13,82,48,5.9,15,17,3,457,1241,7,Ratchet & Clank: All 4 One
2015,0.53,0.33,0.17,0.08,1.12,73,73,7.6,179,2,0,361,1008,1,Sunset Overdrive
1982,1.05,0.06,0,0.01,1.12,71,22,7.5,24,0,8,53,1558,8,Mobile Suit Gundam: Federation vs. Zeon
2001,0.55,0.43,0,0.14,1.12,57,15,7.6,9,16,6,21,500,1,Need for Speed Underground 2
