Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Platform_encoded,Genre_encoded,Publisher_encoded,Developer_encoded,Rating_encoded,Name
2012,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,2,9,361,1008,1,Animal Crossing: New Leaf
2007,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,4,3,361,671,1,Mario Party DS
2011,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,28,7,66,173,5,The Elder Scrolls V: Skyrim
1992,3.54,1.24,3.81,0.18,8.76,71,22,7.5,24,23,6,361,1558,8,Super Mario Kart
2015,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,18,10,139,442,1,FIFA 16
2004,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,29,8,325,253,5,Halo 2
2010,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,26,3,361,982,1,Wii Party
2007,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,26,3,361,669,1,Mario Party 8
2012,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,17,0,139,469,1,FIFA Soccer 13
1997,5.8,2.01,0.13,0.15,8.09,71,22,7.5,24,10,8,361,1558,8,GoldenEye 007
2012,2.79,1.72,3.14,0.41,8.07,71,22,7.5,24,4,7,361,1558,8,Pokemon Black 2/Pokemon White 2
2001,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,16,7,457,1356,7,Final Fantasy X
2009,0.99,6.42,0,0.6,8.01,86,75,7.6,886,13,9,139,1470,7,The Sims 3
2007,2.57,3.86,0.66,0.91,7.99,71,22,7.5,24,26,10,447,1558,8,Mario & Sonic at the Olympic Games
2015,2.99,3.49,0.22,1.28,7.98,71,22,7.5,24,18,8,139,1558,8,Star Wars Battlefront (2015)
1999,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,15,7,468,1356,7,Final Fantasy VIII
1982,7.28,0.45,0,0.08,7.81,71,22,7.5,24,0,5,53,1558,8,Pac-Man
